current ID,accumulated P/L,accumulated reward,reward,position,action,fpl,cu,ma1,ma2,ma3,ma4,ma5
295,-6799.999999999499,-6799.999999999499,0,1,0,0.020000000000010232,0.3655188679245214,0,0,0,0,0
296,-6799.999999999499,-6799.999999999499,0,1,0,0.0,0.3855188679245316,0,0,0,0,0
297,-6799.999999999499,-6799.999999999499,0,1,1,-0.009999999999990905,0.3955188679245225,0,0,0,0,0
298,-6799.999999999499,-6799.999999999499,0,1,2,0.0,0.3855188679245316,0,0,0,0,0
299,-6799.999999999499,-6799.999999999499,0.0,0,3,0.0,0.3855188679245316,0,0,0,0,0
300,-6799.999999999499,-6799.999999999499,0,0,0,0,0.3955188679245225,0,0,0,0,0
301,-6799.999999999499,-6799.999999999499,0,1,1,0,0.3655188679245214,0,0,0,0,0
302,-6799.999999999499,-6799.999999999499,0,1,0,-0.030000000000001137,0.3955188679245225,0,0,0,0,0
303,-6899.99999999955,-6899.99999999955,-100.00000000005116,0,3,-0.010000000000005116,0.3755188679245265,0,0,0,0,0
304,-6899.99999999955,-6899.99999999955,0,0,3,0,0.3955188679245225,0,0,0,0,0
305,-6899.99999999955,-6899.99999999955,0,0,0,0,0.35551886792453047,0,0,0,0,0
306,-6899.99999999955,-6899.99999999955,0,0,0,0,0.3655188679245214,0,0,0,0,0
307,-6899.99999999955,-6899.99999999955,0,1,1,0,0.3855188679245316,0,0,0,0,0
308,-6899.99999999955,-6899.99999999955,0,1,0,0.030000000000001137,0.35551886792453047,0,0,0,0,0
309,-6899.99999999955,-6899.99999999955,0,1,1,0.010000000000005116,0.3755188679245265,0,0,0,0,0
310,-6899.99999999955,-6899.99999999955,0,1,0,0.020000000000010232,0.3655188679245214,0,0,0,0,0
311,-6899.99999999955,-6899.99999999955,0,1,2,0.010000000000005116,0.3755188679245265,0,0,0,0,0
312,-6899.99999999955,-6899.99999999955,0,1,1,0.030000000000001137,0.35551886792453047,0,0,0,0,0
313,-6899.99999999955,-6899.99999999955,0,1,2,0.0,0.3855188679245316,0,0,0,0,0
314,-6899.99999999955,-6899.99999999955,0,1,1,0.060000000000002274,0.32551886792452933,0,0,0,0,0
315,-6899.99999999955,-6899.99999999955,0,1,1,0.0,0.3855188679245316,0,0,0,0,0
316,-6899.99999999955,-6899.99999999955,0,1,2,0.030000000000001137,0.35551886792453047,0,0,0,0,0
317,-6899.99999999955,-6899.99999999955,0,1,0,0.020000000000010232,0.3655188679245214,0,0,0,0,0
318,-6899.99999999955,-6899.99999999955,0,1,2,0.020000000000010232,0.3655188679245214,0,0,0,0,0
319,-6499.999999999487,-6499.999999999487,400.0000000000625,0,3,0.04000000000000625,0.34551886792452535,0,0,0,0,0
320,-6499.999999999487,-6499.999999999487,0,2,2,0,0.3655188679245214,0,0,0,0,0
321,-6399.999999999436,-6399.999999999436,100.00000000005116,0,3,0.010000000000005116,0.3755188679245265,0,0,0,0,0
322,-6399.999999999436,-6399.999999999436,0,1,1,0,0.3855188679245316,0,0,0,0,0
323,-6099.999999999425,-6099.999999999425,300.00000000001137,0,3,0.030000000000001137,0.35551886792453047,0,0,0,0,0
324,-6099.999999999425,-6099.999999999425,0,2,2,0,0.4055188679245276,0,0,0,0,0
325,-6099.999999999425,-6099.999999999425,0,2,1,-0.12000000000000455,0.2855188679245231,0,0,0,0,0
326,-6299.999999999385,-6299.999999999385,-199.9999999999602,0,3,-0.01999999999999602,0.3855188679245316,0,0,0,0,0
327,-6299.999999999385,-6299.999999999385,0,0,0,0,0.34551886792452535,0,0,0,0,0
328,-6299.999999999385,-6299.999999999385,0,0,0,0,0.3855188679245316,0,0,0,0,0
329,-6299.999999999385,-6299.999999999385,0,2,2,0,0.34551886792452535,0,0,0,0,0
330,-6299.999999999385,-6299.999999999385,0,2,2,0.04000000000000625,0.3855188679245316,0,0,0,0,0
331,-6299.999999999385,-6299.999999999385,0,2,2,0.030000000000001137,0.3755188679245265,0,0,0,0,0
332,-5799.999999999413,-5799.999999999413,499.9999999999716,0,3,0.04999999999999716,0.3955188679245225,0,0,0,0,0
333,-5799.999999999413,-5799.999999999413,0,2,2,0,0.3655188679245214,0,0,0,0,0
334,-5799.999999999413,-5799.999999999413,0,2,1,0.020000000000010232,0.3855188679245316,0,0,0,0,0
335,-5799.999999999413,-5799.999999999413,0,2,2,0.010000000000005116,0.3755188679245265,0,0,0,0,0
336,-5599.999999999311,-5599.999999999311,200.00000000010232,0,3,0.020000000000010232,0.3855188679245316,0,0,0,0,0
337,-5599.999999999311,-5599.999999999311,0,0,3,0,0.3755188679245265,0,0,0,0,0
338,-5599.999999999311,-5599.999999999311,0,1,1,0,0.3855188679245316,0,0,0,0,0
339,-5599.999999999311,-5599.999999999311,0,1,1,0.020000000000010232,0.3655188679245214,0,0,0,0,0
340,-6099.999999999282,-6099.999999999282,-499.9999999999716,0,3,-0.04999999999999716,0.43551886792452876,0,0,0,0,0
341,-6099.999999999282,-6099.999999999282,0,1,1,0,0.3755188679245265,0,0,0,0,0
342,-6099.999999999282,-6099.999999999282,0,1,2,-0.030000000000001137,0.4055188679245276,0,0,0,0,0
343,-6099.999999999282,-6099.999999999282,0,1,2,-0.01999999999999602,0.3955188679245225,0,0,0,0,0
344,-6099.999999999282,-6099.999999999282,0,1,1,-0.060000000000002274,0.43551886792452876,0,0,0,0,0
345,-6099.999999999282,-6099.999999999282,0,1,1,-0.04999999999999716,0.42551886792452365,0,0,0,0,0
346,-6299.999999999242,-6299.999999999242,-199.9999999999602,0,3,-0.01999999999999602,0.3955188679245225,0,0,0,0,0
347,-6299.999999999242,-6299.999999999242,0,0,3,0,0.42551886792452365,0,0,0,0,0
348,-6299.999999999242,-6299.999999999242,0,2,2,0,0.41551886792453274,0,0,0,0,0
349,-5999.999999999373,-5999.999999999373,299.99999999986926,0,3,0.029999999999986926,0.44551886792451967,0,0,0,0,0
350,-5999.999999999373,-5999.999999999373,0,0,0,0,0.42551886792452365,0,0,0,0,0
351,-5999.999999999373,-5999.999999999373,0,0,0,0,0.42551886792452365,0,0,0,0,0
352,-5999.999999999373,-5999.999999999373,0,0,3,0,0.4055188679245276,0,0,0,0,0
353,-5999.999999999373,-5999.999999999373,0,2,2,0,0.3855188679245316,0,0,0,0,0
354,-5999.999999999373,-5999.999999999373,0,2,1,0.01999999999999602,0.4055188679245276,0,0,0,0,0
355,-5399.9999999994925,-5399.9999999994925,599.9999999998806,0,3,0.05999999999998806,0.44551886792451967,0,0,0,0,0
